id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
Gene 1,15.100481,14.905931,15.268376,15.513746,15.093679,15.471564,15.22253,14.999256,14.795677,15.137156,14.77885,14.83597,15.0694,15.099837,15.171477,14.947364,14.89227,14.763871,15.637916,14.832085,14.902969,14.827409,14.96965,15.237329,15.134131,15.242345,14.892925,14.969621,15.251127,15.217871,14.961024,15.052703,15.045824,14.919442,15.611667,15.463708,14.959162,14.860496,15.167086,15.368923,14.969899,15.261297,15.009014,14.993442,15.457129,14.693627,14.894616,15.21412,15.26617,14.863846,15.010542,15.082075,14.992242,14.804961,14.680108,14.934674,14.824613,15.148812,15.063179,14.772091,14.621131,14.673891,15.12205,14.704657,15.60522,14.735975,15.030328,15.455577,15.410666,15.06757,15.097027,14.989969,15.442487,15.07314,14.800786,15.271459,14.977001,14.980731,14.907392,15.205012,14.831182,14.807102,14.88359,14.9284,14.879332,14.791838,15.062257,14.687597,15.267863,14.883344,14.85963,14.743517,15.025568,14.8539,14.940164,15.165535,14.856378,14.833563,15.050702,14.997342,14.711871,14.912671,14.867324,14.963613,15.387463,14.922677,15.088541,15.013004,15.259108,14.872813,14.955184,14.773974,15.066937,15.247118,15.078989,15.087756,15.006113,14.963858,15.07925,15.055996,14.939393,14.949355,14.973672,15.072542,15.213654,14.757792,15.044285,14.844237,14.884941,14.780347
Gene 2,15.949672,15.766908,16.457303,16.457871,16.085498,16.417165,16.440389,16.121702,16.076999,16.233709,16.006458,15.698884,16.025818,16.124633,16.427415,15.978084,16.15732,15.951358,16.596448,16.021682,16.234855,16.086311,16.091662,16.26769,16.449724,16.363406,16.083163,15.985494,16.307497,16.013635,15.88979,16.168901,16.144896,15.907434,16.311246,16.378514,15.965909,15.875534,16.159753,16.438123,15.992731,16.352052,16.186206,15.862841,16.455222,15.897801,16.214306,16.32285,16.326807,15.937951,16.036978,16.216703,16.04689,15.875294,15.501459,15.696169,15.59841,15.918976,16.16922,15.780774,15.729573,15.637006,16.109386,15.901238,16.547382,15.824866,16.116265,16.383198,16.070034,16.058899,15.987415,15.807768,16.359082,16.092673,15.841777,16.166707,15.431698,16.015353,15.931401,16.098234,15.751893,15.57645,15.558666,15.805037,15.632913,15.907684,16.078692,15.7887,16.20855,16.266796,15.83032,15.614592,16.093818,16.171854,16.186827,16.141966,15.970491,15.828889,16.102384,15.874073,15.45219,15.732615,15.718276,16.084779,16.458557,15.868846,16.170498,16.13794,16.347777,15.654301,15.899288,15.491645,16.113613,16.249918,16.091101,16.190562,15.954171,16.070229,15.813009,16.237072,15.940922,15.914617,16.058649,16.237067,16.216685,15.823142,16.066513,15.836963,15.88269,15.995142
Gene 3,13.783062,13.88538,13.447923,13.848918,13.253646,13.76488,13.146401,13.261694,13.325234,13.518582,13.636706,13.423018,13.386242,13.246648,13.25927,13.245231,13.379906,13.253373,13.148929,13.206539,13.189456,13.067745,13.008258,12.871026,13.630186,13.038823,12.904408,13.390883,13.288014,13.668372,13.543765,13.872785,13.561856,13.600977,13.517351,13.348603,13.286119,13.472186,13.077064,13.455564,13.339195,14.0502,13.341986,13.53215,13.817728,12.872805,12.842628,12.454079,13.069191,12.57272,13.62131,13.045169,13.509011,13.390351,13.34621,13.480681,13.675459,13.656194,13.513068,13.813476,13.428367,13.192201,14.016642,13.842905,13.823749,13.084404,14.24478,14.014584,14.536446,13.747006,13.907276,13.290242,14.569329,13.505801,13.529121,13.623771,13.761784,13.186047,13.390083,13.039434,13.638145,13.428871,13.536906,13.894584,13.37554,13.305248,13.127002,13.136246,13.146743,12.868276,13.569907,13.767206,12.352741,13.011227,12.74546,13.2678,13.492173,13.735698,13.473633,13.265195,13.200236,13.734463,13.228736,13.092899,13.229725,13.665348,13.058737,13.028106,13.415457,13.729728,14.099107,13.549172,13.152668,13.602614,13.185954,13.282553,13.444124,13.240735,13.937127,13.48748,13.142021,13.210235,13.609013,12.781427,13.333801,13.715158,13.824637,13.672151,13.545929,13.297074
Gene 4,17.106806,17.134476,17.345957,17.634144,17.066823,17.365255,17.158754,17.19314,17.145046,17.068216,17.072966,16.916568,17.125181,16.997298,17.16619,16.939793,16.864311,16.832627,17.101889,17.008078,16.854541,16.858449,16.778292,16.937648,17.163345,16.880602,16.701844,16.91042,16.965009,17.403089,16.91909,17.317618,17.241669,17.265523,17.020794,17.066578,16.994778,16.987598,17.091839,17.193209,16.916783,17.556513,17.064005,17.038575,17.624946,16.471038,16.870302,16.983928,17.040818,16.566224,17.136329,16.818497,17.159199,17.038108,16.688634,16.984651,16.839057,17.407715,17.226137,16.863106,16.786186,16.763318,17.415274,17.054638,17.611073,16.599595,17.147798,17.758685,17.582018,17.203486,17.172209,16.90519,17.714082,17.246868,17.032812,17.244243,17.280849,16.980072,17.136955,16.865163,16.964095,16.884109,16.913462,17.338232,17.030264,16.847614,16.890004,16.963088,17.289003,16.963574,17.101739,16.925678,16.789858,17.054404,16.881021,17.144794,17.164353,17.087754,17.064978,17.134316,16.779447,17.078306,16.996414,16.821972,17.255923,16.937791,17.211832,17.107917,17.476506,17.011633,17.269548,16.735224,17.07043,17.379748,17.071672,17.016249,17.066495,17.026102,17.005021,17.092272,16.835511,17.141782,17.100598,17.055905,17.343695,17.007101,17.259333,17.116632,17.050606,16.867749
Gene 5,17.62671,17.48129,17.499373,17.631306,17.618949,17.519347,17.442194,17.589576,17.494778,17.556532,17.615503,17.273563,17.572592,17.387356,17.306543,17.588215,17.615069,17.369809,17.485199,17.610406,17.373365,17.371988,17.269622,17.346336,17.575244,17.432563,17.276319,17.152431,17.486823,17.447856,17.547812,17.613918,17.392805,17.478448,17.326968,17.252375,17.504828,17.511355,17.497273,17.357699,17.466343,17.524058,17.471771,17.578245,17.68828,17.264125,17.379608,17.409639,17.35492,16.998634,17.569264,17.490736,17.587699,17.515326,16.988603,17.437456,17.333087,17.514794,17.604327,17.254828,17.346693,17.230009,17.457181,17.379562,17.6205,17.371123,17.445247,17.695122,17.35867,17.329079,17.255356,17.369837,17.419682,17.580454,17.095127,17.694885,17.469337,17.482833,17.304565,17.3077,17.368813,17.296118,17.386477,17.36212,17.382945,17.392928,17.327866,17.527267,17.58379,17.412967,17.39616,17.391555,17.32307,17.488158,17.464744,17.619074,17.59843,17.546519,17.520956,17.418784,17.182298,17.310086,17.540203,17.544391,17.431505,17.45863,17.56468,17.527255,17.429251,17.410303,17.272602,17.251677,17.590898,17.4637,17.5649,17.477522,17.524885,17.415072,17.407329,17.438239,17.429016,17.354994,17.473945,17.493836,17.620436,17.40793,17.486753,17.365038,17.372929,17.377216
Gene 6,15.867978,15.56203,16.546103,16.376936,15.795794,16.524871,16.410207,15.904866,15.796826,16.091399,15.682058,15.566878,15.881585,16.170104,16.20729,15.669132,15.540344,15.472609,16.305307,15.676965,15.659296,15.678464,15.659589,16.108553,16.030696,15.881472,15.567416,15.671106,15.976067,16.10977,15.793728,16.235357,15.752177,15.769347,16.044935,16.141542,15.478855,15.574824,16.111438,16.363639,15.372184,16.332964,15.783387,15.638656,16.978105,15.246989,15.776977,16.416079,16.134631,15.761862,15.732054,15.869021,15.787751,15.62005,15.372106,15.522714,15.376538,15.99482,15.927913,15.572043,15.385324,15.333747,16.413306,15.769777,16.848139,15.286248,15.986517,16.879632,16.487974,15.784305,15.782789,15.765454,16.58381,16.081644,15.756994,15.8659,15.287531,15.777015,15.834612,15.888164,15.59555,15.361543,15.416674,15.988827,15.575403,15.587001,15.617882,15.513573,16.355012,15.713218,15.590091,15.42292,16.04781,15.997267,16.00352,15.964329,15.818049,15.523537,15.654859,15.798375,15.187192,15.398607,15.469254,15.673294,16.476507,15.70396,16.013486,15.996283,16.486438,15.430877,15.772939,15.388681,15.725998,16.359055,15.828944,15.933517,15.848929,15.822623,15.791935,15.977826,15.516691,15.892445,15.763698,16.086831,16.307293,15.535168,16.090668,15.579071,15.570569,15.578133
Gene 7,10.553039,11.033567,10.800167,11.593128,11.159442,11.615411,11.005894,11.181482,10.731199,11.597968,10.399233,10.84797,11.010778,11.015069,10.59384,11.68999,11.129781,11.311987,11.126281,11.417906,10.694673,10.91857,11.259729,11.22428,10.501284,10.416253,10.981892,11.144611,11.257815,10.795952,11.118317,10.808095,11.051316,11.341643,11.247769,10.763337,11.073561,10.855111,10.757571,11.330362,11.112535,10.766608,11.192734,10.811244,10.561914,10.784548,10.989878,10.636784,11.369016,11.076364,11.500793,11.890797,11.421461,11.006031,10.751422,10.552097,10.885496,10.915019,10.837603,11.243448,11.435536,11.325494,10.904084,11.369749,10.848497,11.477543,11.452299,10.891944,11.048166,11.291128,10.909685,10.714034,10.861804,11.013005,11.384732,11.327764,10.884548,11.179964,11.075375,10.759743,11.690571,11.571145,10.723991,11.774439,11.380246,11.100438,11.234552,10.36869,11.446808,10.750502,11.193278,11.514334,10.291322,10.626277,11.08031,11.54087,10.882645,11.119249,11.391569,11.393581,10.98879,11.299447,10.731513,10.73308,11.211855,10.252806,11.164608,10.753611,10.932708,10.471964,11.244306,10.813315,11.210108,10.518566,10.645649,10.890866,10.762972,10.409806,11.373956,10.991243,10.833852,11.43223,11.674195,10.833717,11.297164,11.250808,10.810798,11.283055,11.071845,11.07277
Gene 8,8.395721,8.81567,7.839126,7.659894,8.38846,6.659036,8.560781,9.343258,7.784408,8.580236,8.769232,8.730467,8.694456,8.774974,8.43867,7.425187,8.563068,8.181472,7.720614,9.154276,9.022355,7.434204,8.415859,7.864221,8.907496,8.598414,7.788874,8.544199,7.767388,9.04129,8.369136,7.598338,7.507533,9.180301,8.818146,9.040737,7.278651,8.169945,8.82468,8.357859,8.723287,9.436988,7.988218,8.837244,8.130332,8.975983,8.279634,9.084971,8.343405,9.151401,7.354199,9.166205,8.893545,7.372891,8.007688,8.240264,9.304994,9.285083,8.875665,9.10636,8.440128,8.997933,9.465423,9.959366,7.196207,8.079378,9.855928,8.364355,9.73065,8.47514,9.36156,7.772965,9.275969,6.659036,8.868374,8.223245,8.716047,9.248089,9.597963,9.279408,7.688546,9.359137,8.005619,9.178902,7.805408,8.686081,8.108879,8.352115,8.085946,8.272202,8.372595,7.868758,8.652906,9.182328,9.144987,8.880528,9.367015,9.034898,8.722401,8.646897,8.69732,9.20234,9.035231,7.691908,8.616071,9.754099,8.462101,8.235338,8.262999,9.200748,9.131485,9.717621,8.495105,8.970574,8.815439,8.946475,9.378882,8.598759,8.239991,8.891847,6.659036,8.093599,8.684328,7.468235,10.021614,8.059381,8.319123,7.377918,9.111553,8.118199
Gene 9,11.603047,11.976738,11.797799,11.42909,11.840823,11.802236,12.206732,12.13433,11.584145,11.925171,11.676174,12.110787,11.65794,11.947047,12.039137,11.638215,11.386644,11.916188,11.629855,11.734617,11.734796,11.789875,11.718211,11.324941,11.885956,11.443664,11.599604,11.766531,11.673002,11.878583,11.33131,11.048729,11.769544,11.635757,12.088753,11.702037,11.753329,11.747935,11.714806,11.855033,11.597445,11.675056,12.009253,11.487945,11.6502,11.827574,11.95363,11.547339,11.950543,11.964724,11.662216,11.571637,11.90613,12.107895,11.851121,11.224324,12.295031,11.839373,11.726805,11.57459,11.588741,11.560555,11.717863,11.488101,12.096317,11.402378,11.452299,12.040772,11.496162,11.544433,11.826735,11.815343,11.724075,11.693205,11.805589,12.021637,11.803594,12.086078,11.755007,12.35957,11.575702,11.540398,11.817397,11.440508,11.650669,11.826997,12.014505,11.768455,11.526366,11.993233,11.8885,11.540874,11.459769,11.759066,12.140865,11.646241,12.041811,11.719503,11.708544,11.574953,11.927138,11.423764,11.750238,11.791844,11.716587,11.513253,11.70056,11.789303,11.910827,11.761723,11.837429,12.295282,11.746673,12.004067,11.871204,11.832865,11.749264,11.833716,11.373919,11.871496,11.755985,11.834042,11.192218,12.422246,12.206478,12.019924,11.433054,11.246819,11.69111,11.37431
Gene 10,9.645634,9.228897,8.814293,8.183864,9.401711,9.363645,9.976113,9.779507,9.532508,9.732588,7.937897,9.597301,8.169642,8.842189,8.538721,9.643636,9.562381,8.988547,9.309771,9.27084,8.937032,8.797777,9.515229,9.171485,7.88157,9.409458,8.414643,10.241055,9.759225,9.615147,9.161407,9.554203,8.738233,9.826538,9.445588,9.87441,9.915709,8.919294,8.794025,9.19252,9.944868,9.38152,9.475506,9.222513,8.427373,9.013369,9.496416,8.138524,7.516642,7.954643,9.01057,9.291262,8.561733,9.272909,9.141376,9.253315,8.842959,8.198064,9.605594,9.672339,9.724185,8.937556,9.432544,9.97445,8.83774,8.92806,8.701067,9.768389,9.863248,9.184953,9.261348,9.876158,9.047488,9.288145,9.173978,9.299689,8.703352,9.553559,9.320034,9.123519,10.225509,9.048818,8.387685,10.122114,9.126736,8.999335,8.772881,9.061655,9.412236,6.659036,8.955497,9.064866,8.552135,9.67037,8.368118,9.250355,9.444406,9.516377,9.672893,8.651224,9.350493,9.299878,9.193943,8.783548,9.530884,8.427656,9.16587,8.895282,9.674619,7.952092,8.758818,9.75709,9.454125,8.713411,8.927812,9.856493,9.17596,9.126796,9.462886,8.497763,10.041498,9.853491,9.845707,9.003864,9.000522,9.174188,8.858975,9.566009,9.33537,9.348361
